v_hit,Count
TRAV1-1,0
TRAV1-2,0
TRAV10,7
TRAV12-1,61
TRAV12-2,73
TRAV12-3,55
TRAV13-1,91
TRAV13-2,27
TRAV14DV4,14
TRAV16,19
TRAV17,27
TRAV18,0
TRAV19,18
TRAV2,31
TRAV20,30
TRAV21,41
TRAV22,12
TRAV23DV6,49
TRAV24,9
TRAV25,25
TRAV26-1,31
TRAV26-2,33
TRAV27,18
TRAV29DV5,48
TRAV3,36
TRAV30,5
TRAV34,8
TRAV35,15
TRAV36DV7,8
TRAV38-1,18
TRAV38-2DV8,36
TRAV39,9
TRAV4,26
TRAV40,0
TRAV41,25
TRAV5,12
TRAV6,21
TRAV7,0
TRAV8-1,16
TRAV8-2,4
TRAV8-3,44
TRAV8-4,12
TRAV8-6,9
TRAV9-1,0
TRAV9-2,62
Total,1085
